feature,weight
const,3.503828796460193
culture,1.2707890295615698e-13
generation_number,-0.011767223428837858
affect,0.5920006289902008
posemo,-0.7568286628064429
informal,-0.023776683331892187
netspeak,0.003610232668584734
negemo,-0.20228659428141543
leisure,-0.04597548932525958
function,0.08972230725183919
article,0.047442340620073076
drives,-0.22447927882560112
power,0.08323674966693748
sad,-0.05051437419432998
bio,0.0238452420003136
body,-0.012212410899034187
achiev,0.04342034351227518
adj,0.03397744584737189
cogproc,-0.19551646395317293
discrep,0.011595870134665691
health,0.018931723324232763
sexual,-0.0046419177675680705
prep,0.00730205143451268
adverb,0.008783434870576465
relativ,-0.2770125614610681
space,0.1278004023790061
time,0.14989631926121538
work,0.056249804815566906
certain,0.030167329810220772
assent,-0.0691376443540399
risk,0.062299762820351295
anger,0.006200749272091466
verb,0.06455868755605883
insight,0.059278700078242985
focuspast,0.018490153888244543
reward,0.11396883401746982
affiliation,-0.013214337356603871
social,-0.09535345116798799
friend,-0.2823878990469175
money,0.029270183133202204
percept,-0.19751529159697978
feel,0.09896551588749453
motion,0.16569458144750074
cause,0.036102363774710045
differ,0.16220859389989303
quant,0.0398021328314538
focuspresent,0.04691436721691565
home,-0.01678260814917716
swear,0.016183108539784104
anx,-0.01453421845526848
compare,-0.06750791086583419
relig,0.028969183622897673
nonflu,0.16423997799231912
focusfuture,-0.031626756527854634
auxverb,-0.05357650794998099
negate,-0.01692197615417529
ingest,0.003830458120781796
death,0.021199669922804365
tentat,0.024233682116846615
conj,-0.05330931880801673
pronoun,3.6970263024280157
ipron,-1.8870119306039679
filler,-0.003995110279735425
see,0.07785152914682625
hear,0.1414762304943333
family,0.9700723373599758
female,0.024430264113760695
male,0.39139698902729847
number,0.007229354461294024
ppron,-1.7876599956594774
shehe,-0.4832138264163285
interrog,0.03723135139316376
i,-1.2557317018128615
you,-0.829879049058065
we,-0.540739409673104
they,-0.2030532465232695
